Zeit,Kanal A,Kanal B
(ms),(V),(V)

-9.05448568,0.02258370,0.00000000
-9.05192568,0.02502518,0.00000000
-9.04936568,0.02258370,0.00000000
-9.04680568,0.02258370,0.00000000
-9.04424568,0.01953185,0.00000000
-9.04168568,0.02258370,0.00000000
-9.03912568,0.02258370,0.00000000
-9.03656568,0.02258370,0.00000000
-9.03400568,0.01953185,0.00000000
-9.03144568,0.01953185,0.00000000
-9.02888568,0.02258370,0.00000000
-9.02632568,0.02258370,0.00000000
-9.02376568,0.02502518,0.00000000
-9.02120568,0.02502518,0.00000000
-9.01864568,0.02502518,0.00000000
-9.01608568,0.02807703,0.00000000
-9.01352568,0.03051851,0.00000000
-9.01096568,0.03051851,0.00000000
-9.00840568,0.03051851,0.00000000
-9.00584568,0.03051851,0.00000000
-9.00328568,0.03051851,0.00000000
-9.00072568,0.03357036,0.00000000
-8.99816568,0.03357036,0.00000000
-8.99560568,0.03662221,0.00000000
-8.99304568,0.03906369,0.00000000
-8.99048568,0.03906369,0.00000000
-8.98792568,0.03906369,0.00000000
-8.98536568,0.03662221,0.00000000
-8.98280568,0.03662221,0.00000000
-8.98024568,0.03662221,0.00000000
-8.97768568,0.03662221,0.00000000
-8.97512568,0.03662221,0.00000000
-8.97256568,0.03906369,0.00000000
-8.97000568,0.03906369,0.00000000
-8.96744568,0.03662221,0.00000000
-8.96488568,0.03357036,0.00000000
-8.96232568,0.03051851,0.00000000
-8.95976568,0.02807703,0.00000000
-8.95720568,0.02807703,0.00000000
-8.95464568,0.02807703,0.00000000
-8.95208568,0.02807703,0.00000000
-8.94952568,0.02807703,0.00000000
-8.94696568,0.02807703,0.00000000
-8.94440568,0.02807703,0.00000000
-8.94184568,0.03051851,0.00000000
-8.93928568,0.03051851,0.00000000
-8.93672568,0.03357036,0.00000000
-8.93416568,0.03662221,0.00000000
-8.93160568,0.03357036,0.00000000
-8.92904568,0.03051851,0.00000000
-8.92648568,0.03051851,0.00000000
-8.92392568,0.03357036,0.00000000
-8.92136568,0.03357036,0.00000000
-8.91880568,0.03357036,0.00000000
-8.91624568,0.03357036,0.00000000
-8.91368568,0.03357036,0.00000000
-8.91112568,0.03357036,0.00000000
-8.90856568,0.03662221,0.00000000
-8.90600568,0.03662221,0.00000000
-8.90344568,0.03906369,0.00000000
-8.90088568,0.03906369,0.00000000
-8.89832568,0.03906369,0.00000000
-8.89576568,0.03906369,0.00000000
-8.89320568,0.03906369,0.00000000
-8.89064568,0.03662221,0.00000000
-8.88808568,0.03662221,0.00000000
-8.88552568,0.03906369,0.00000000
-8.88296568,0.03906369,0.00000000
-8.88040568,0.03906369,0.00000000
-8.87784568,0.03662221,0.00000000
-8.87528568,0.03662221,0.00000000
-8.87272568,0.03662221,0.00000000
-8.87016568,0.03662221,0.00000000
-8.86760568,0.03662221,0.00000000
-8.86504568,0.03357036,0.00000000
-8.86248568,0.03662221,0.00000000
-8.85992568,0.03662221,0.00000000
-8.85736568,0.03357036,0.00000000
-8.85480568,0.03357036,0.00000000
